,phrase,telecom
536,text,beeline
537,text,megafon
538,text,megafon
539,text,beeline
540,text,megafon
541,text,beeline
542,text,tele2
543,text,mts
544,text,mts
545,text,mts
546,text,skylink
547,text,mts
548,text,mts
549,text,megafon
550,text,rostelecom
551,text,megafon
552,text,mts
553,text,beeline
554,text,beeline
555,text,megafon
556,text,beeline
557,text,megafon
558,text,megafon
559,text,megafon
560,text,megafon
561,text,mts
562,text,mts
563,text,megafon
564,text,mts
565,text,beeline
566,text,mts
567,text,rostelecom
568,text,rostelecom
569,text,megafon
570,text,megafon
571,text,megafon
572,text,beeline
573,text,beeline
574,text,mts
575,text,megafon
576,text,mts
577,text,beeline
578,text,beeline
579,text,mts
580,text,tele2
581,text,rostelecom
582,text,tele2
583,text,tele2
584,text,beeline
585,text,megafon
586,text,beeline
587,text,rostelecom
588,text,mts
589,text,mts
590,text,mts
591,text,mts
592,text,mts
593,text,beeline
594,text,mts
595,text,megafon
596,text,megafon
597,text,megafon
598,text,tele2
599,text,tele2
600,text,beeline
601,text,mts
602,text,rostelecom
603,text,megafon
604,text,tele2
605,text,megafon
606,text,rostelecom
607,text,mts
608,text,megafon
609,text,beeline
610,text,rostelecom
611,text,beeline
612,text,tele2
613,text,megafon
614,text,mts
615,text,tele2
616,text,tele2
617,text,megafon
618,text,mts
619,text,megafon
620,text,beeline
621,text,beeline
622,text,rostelecom
623,text,megafon
624,text,mts
625,text,mts
626,text,megafon
627,text,beeline
628,text,tele2
629,text,mts
630,text,mts
631,text,megafon
632,text,beeline
633,text,mts
634,text,mts
635,text,megafon
636,text,mts
637,text,mts
638,text,beeline
639,text,rostelecom
640,text,tele2
641,text,megafon
642,text,tele2
643,text,tele2
644,text,beeline
645,text,megafon
646,text,mts
647,text,mts
648,text,tele2
649,text,beeline
650,text,megafon
651,text,megafon
652,text,tele2
653,text,beeline
654,text,mts
655,text,mts
656,text,rostelecom
657,text,mts
658,text,beeline
659,text,rostelecom
660,text,tele2
661,text,megafon
662,text,tele2
663,text,rostelecom
664,text,mts
665,text,beeline
666,text,rostelecom
667,text,megafon
668,text,mts
669,text,mts
670,text,mts
671,text,tele2
672,text,tele2
673,text,rostelecom
674,text,megafon
675,text,mts
676,text,beeline
677,text,mts
678,text,megafon
679,text,rostelecom
680,text,beeline
681,text,megafon
682,text,tele2
683,text,tele2
684,text,tele2
685,text,mts
686,text,beeline
687,text,megafon
688,text,tele2
689,text,mts
690,text,mts
691,text,mts
692,text,megafon
693,text,beeline
694,text,megafon
695,text,mts
696,text,beeline
697,text,tele2
698,text,tele2
699,text,mts
700,text,megafon
701,text,mts
702,text,mts
703,text,mts
704,text,rostelecom
705,text,tele2
706,text,megafon
707,text,mts
708,text,megafon
709,text,mts
710,text,rostelecom
711,text,megafon
712,text,megafon
713,text,beeline
714,text,megafon
715,text,megafon
716,text,megafon
717,text,mts
718,text,megafon
719,text,megafon
720,text,mts
721,text,tele2
722,text,beeline
723,text,megafon
724,text,mts
725,text,mts
726,text,tele2
727,text,beeline
728,text,tele2
729,text,megafon
730,text,megafon
731,text,tele2
732,text,mts
733,text,megafon
734,text,beeline
735,text,beeline
736,text,mts
737,text,tele2
738,text,beeline
739,text,mts
740,text,beeline
741,text,mts
742,text,beeline
743,text,rostelecom
744,text,tele2
745,text,rostelecom
746,text,megafon
747,text,tele2
748,text,beeline
749,text,megafon
750,text,mts
751,text,beeline
752,text,mts
753,text,mts
754,text,mts
755,text,megafon
756,text,tele2
757,text,mts
758,text,mts
759,text,mts
760,text,mts
761,text,mts
762,text,mts
763,text,megafon
764,text,megafon
765,text,beeline
766,text,beeline
767,text,mts
768,text,mts
769,text,mts
770,text,megafon
771,text,mts
772,text,mts
773,text,megafon
774,text,beeline
775,text,megafon
776,text,beeline
777,text,mts
778,text,megafon
779,text,megafon
780,text,beeline
781,text,megafon
782,text,beeline
783,text,beeline
784,text,megafon
785,text,mts
786,text,mts
787,text,mts
788,text,mts
789,text,beeline
790,text,mts
791,text,mts
792,text,mts
793,text,beeline
794,text,mts
795,text,mts
796,text,beeline
797,text,tele2
798,text,mts
799,text,mts
800,text,megafon
801,text,mts
802,text,beeline
803,text,beeline
804,text,mts
805,text,megafon
806,text,beeline
807,text,megafon
808,text,mts
809,text,mts
810,text,beeline
811,text,megafon
812,text,megafon
813,text,megafon
814,text,mts
815,text,tele2
816,text,tele2
817,text,megafon
818,text,tele2
819,text,megafon
820,text,mts
821,text,mts
822,text,megafon
823,text,megafon
824,text,tele2
825,text,megafon
826,text,mts
827,text,tele2
828,text,megafon
829,text,megafon
830,text,mts
831,text,mts
832,text,megafon
833,text,mts
834,text,mts
835,text,rostelecom
836,text,megafon
837,text,mts
838,text,beeline
839,text,tele2
840,text,tele2
841,text,rostelecom
842,text,beeline
843,text,mts
844,text,mts
845,text,mts
846,text,beeline
847,text,megafon
848,text,beeline
849,text,mts
850,text,rostelecom
851,text,tele2
852,text,rostelecom
853,text,rostelecom
854,text,beeline
855,text,megafon
856,text,mts
857,text,rostelecom
858,text,rostelecom
859,text,megafon
860,text,megafon
861,text,mts
862,text,mts
863,text,mts
864,text,mts
865,text,mts
866,text,mts
867,text,beeline
868,text,beeline
869,text,megafon
870,text,mts
871,text,mts
872,text,mts
873,text,megafon
874,text,mts
875,text,beeline
876,text,beeline
877,text,mts
878,text,rostelecom
879,text,megafon
880,text,megafon
881,text,megafon
882,text,beeline
883,text,beeline
884,text,beeline
885,text,beeline
886,text,rostelecom
887,text,beeline
888,text,mts
889,text,mts
890,text,mts
891,text,mts
892,text,rostelecom
893,text,mts
894,text,mts
895,text,mts
896,text,megafon
897,text,beeline
898,text,beeline
899,text,mts
900,text,beeline
901,text,mts
902,text,beeline
903,text,tele2
904,text,tele2
905,text,tele2
906,text,beeline
907,text,beeline
908,text,beeline
909,text,megafon
910,text,rostelecom
911,text,beeline
912,text,megafon
913,text,beeline
914,text,beeline
915,text,beeline
916,text,mts
917,text,mts
918,text,beeline
919,text,mts
920,text,mts
921,text,beeline
922,text,megafon
923,text,beeline
924,text,megafon
925,text,beeline
926,text,megafon
927,text,mts
928,text,beeline
929,text,beeline
930,text,megafon
931,text,mts
932,text,megafon
933,text,beeline
934,text,beeline
935,text,megafon
936,text,beeline
937,text,mts
938,text,beeline
939,text,mts
940,text,rostelecom
941,text,rostelecom
942,text,megafon
943,text,mts
944,text,beeline
945,text,mts
946,text,mts
947,text,mts
948,text,rostelecom
949,text,beeline
950,text,rostelecom
951,text,mts
952,text,mts
953,text,beeline
954,text,tele2
955,text,mts
956,text,megafon
957,text,tele2
958,text,beeline
959,text,mts
960,text,megafon
961,text,rostelecom
962,text,megafon
963,text,megafon
964,text,megafon
965,text,megafon
966,text,megafon
967,text,megafon
968,text,tele2
969,text,rostelecom
970,text,megafon
971,text,megafon
972,text,megafon
973,text,megafon
974,text,megafon
975,text,beeline
976,text,tele2
977,text,rostelecom
978,text,mts
979,text,mts
980,text,mts
981,text,mts
982,text,mts
983,text,megafon
984,text,megafon
985,text,mts
986,text,beeline
987,text,beeline
988,text,rostelecom
989,text,megafon
990,text,skylink
991,text,megafon
992,text,mts
993,text,megafon
994,text,beeline
995,text,megafon
996,text,rostelecom
997,text,megafon
998,text,beeline
999,text,mts
1000,text,mts
1001,text,mts
1002,text,rostelecom
1003,text,megafon
1004,text,mts
1005,text,rostelecom
1006,text,rostelecom
1007,text,tele2
1008,text,mts
1009,text,megafon
1010,text,mts
1011,text,megafon
1012,text,megafon
1013,text,megafon
1014,text,megafon
1015,text,megafon
1016,text,mts
1017,text,megafon
1018,text,megafon
1019,text,megafon
1020,text,beeline
1021,text,mts
1022,text,beeline
1023,text,rostelecom
1024,text,rostelecom
1025,text,beeline
1026,text,megafon
1027,text,megafon
1028,text,mts
1029,text,megafon
1030,text,mts
1031,text,beeline
1032,text,megafon
1033,text,mts
1034,text,tele2
1035,text,megafon
1036,text,mts
1037,text,rostelecom
1038,text,beeline
1039,text,megafon
1040,text,mts
1041,text,megafon
1042,text,mts
1043,text,megafon
1044,text,rostelecom
1045,text,mts
1046,text,megafon
1047,text,mts
1048,text,beeline
1049,text,mts
1050,text,mts
1051,text,mts
1052,text,rostelecom
1053,text,rostelecom
1054,text,rostelecom
1055,text,mts
1056,text,beeline
1057,text,mts
1058,text,mts
1059,text,beeline
1060,text,megafon
1061,text,beeline
1062,text,megafon
1063,text,mts
1064,text,megafon
1065,text,mts
1066,text,beeline
1067,text,beeline
1068,text,megafon
1069,text,megafon
1070,text,megafon
1071,text,beeline
1072,text,mts
1073,text,mts
1074,text,megafon
1075,text,megafon
1076,text,rostelecom
1077,text,mts
1078,text,megafon
1079,text,mts
1080,text,mts
1081,text,rostelecom
1082,text,mts
1083,text,beeline
1084,text,megafon
1085,text,megafon
1086,text,beeline
1087,text,megafon
1088,text,megafon
1089,text,beeline
1090,text,megafon
1091,text,megafon
1092,text,megafon
1093,text,mts
1094,text,megafon
1095,text,megafon
1096,text,mts
1097,text,mts
1098,text,mts
1099,text,mts
1100,text,mts
1101,text,beeline
1102,text,megafon
1103,text,beeline
1104,text,megafon
1105,text,mts
1106,text,tele2
1107,text,rostelecom
1108,text,megafon
1109,text,mts
1110,text,tele2
1111,text,mts
1112,text,mts
1113,text,beeline
1114,text,skylink
1115,text,tele2
1116,text,rostelecom
1117,text,megafon
1118,text,mts
1119,text,mts
1120,text,megafon
1121,text,mts
1122,text,megafon
1123,text,mts
1124,text,megafon
1125,text,mts
1126,text,megafon
1127,text,rostelecom
1128,text,megafon
1129,text,beeline
1130,text,megafon
1131,text,rostelecom
1132,text,mts
1133,text,mts
1134,text,beeline
1135,text,mts
1136,text,mts
1137,text,mts
1138,text,rostelecom
1139,text,megafon
1140,text,megafon
1141,text,beeline
1142,text,tele2
1143,text,megafon
1144,text,mts
1145,text,beeline
1146,text,megafon
1147,text,mts
1148,text,beeline
1149,text,megafon
1150,text,mts
1151,text,megafon
1152,text,tele2
1153,text,megafon
1154,text,megafon
1155,text,mts
1156,text,megafon
1157,text,mts
1158,text,beeline
1159,text,megafon
1160,text,megafon
1161,text,mts
1162,text,beeline
1163,text,megafon
1164,text,beeline
1165,text,beeline
1166,text,tele2
1167,text,megafon
1168,text,megafon
1169,text,rostelecom
1170,text,mts
1171,text,mts
1172,text,mts
1173,text,megafon
1174,text,rostelecom
1175,text,mts
1176,text,rostelecom
1177,text,beeline
1178,text,mts
1179,text,beeline
1180,text,mts
1181,text,rostelecom
1182,text,beeline
1183,text,mts
1184,text,beeline
1185,text,beeline
1186,text,mts
1187,text,mts
1188,text,mts
1189,text,rostelecom
1190,text,mts
1191,text,beeline
1192,text,rostelecom
1193,text,mts
1194,text,beeline
1195,text,megafon
1196,text,megafon
1197,text,rostelecom
1198,text,beeline
1199,text,mts
1200,text,mts
1201,text,beeline
1202,text,megafon
1203,text,mts
1204,text,beeline
1205,text,rostelecom
1206,text,mts
1207,text,mts
1208,text,rostelecom
1209,text,beeline
1210,text,mts
1211,text,mts
1212,text,beeline
1213,text,mts
1214,text,rostelecom
1215,text,rostelecom
1216,text,rostelecom
1217,text,mts
1218,text,mts
1219,text,megafon
1220,text,megafon
1221,text,tele2
1222,text,beeline
1223,text,beeline
1224,text,beeline
1225,text,mts
1226,text,mts
1227,text,megafon
1228,text,rostelecom
1229,text,megafon
1230,text,mts
1231,text,beeline
1232,text,megafon
1233,text,megafon
1234,text,mts
1235,text,mts
1236,text,beeline
1237,text,mts
1238,text,beeline
1239,text,mts
1240,text,mts
1241,text,beeline
1242,text,beeline
1243,text,beeline
1244,text,mts
1245,text,mts
1246,text,beeline
1247,text,mts
1248,text,beeline
1249,text,rostelecom
1250,text,megafon
1251,text,mts
1252,text,rostelecom
1253,text,beeline
1254,text,beeline
1255,text,mts
1256,text,mts
1257,text,beeline
1258,text,beeline
1259,text,beeline
1260,text,mts
1261,text,tele2
1262,text,tele2
1263,text,beeline
1264,text,beeline
1265,text,beeline
1266,text,beeline
1267,text,megafon
1268,text,beeline
1269,text,beeline
1270,text,rostelecom
1271,text,megafon
1272,text,beeline
1273,text,rostelecom
1274,text,beeline
1275,text,tele2
1276,text,beeline
1277,text,beeline
1278,text,tele2
1279,text,megafon
1280,text,megafon
1281,text,megafon
1282,text,tele2
1283,text,megafon
1284,text,rostelecom
1285,text,megafon
1286,text,beeline
1287,text,megafon
1288,text,tele2
1289,text,rostelecom
1290,text,rostelecom
1291,text,mts
1292,text,mts
1293,text,mts
1294,text,mts
1295,text,beeline
1296,text,megafon
1297,text,beeline
1298,text,beeline
1299,text,rostelecom
1300,text,beeline
1301,text,megafon
1302,text,megafon
1303,text,beeline
1304,text,mts
1305,text,mts
1306,text,mts
1307,text,mts
1308,text,megafon
1309,text,mts
1310,text,rostelecom
1311,text,beeline
1312,text,megafon
1313,text,beeline
1314,text,megafon
1315,text,megafon
1316,text,mts
1317,text,tele2
1318,text,mts
1319,text,mts
1320,text,mts
1321,text,mts
1322,text,beeline
1323,text,rostelecom
1324,text,mts
1325,text,beeline
1326,text,beeline
1327,text,rostelecom
1328,text,beeline
1329,text,mts
1330,text,tele2
1331,text,beeline
1332,text,beeline
1333,text,mts
1334,text,beeline
1335,text,beeline
1336,text,tele2
1337,text,beeline
1338,text,megafon
1339,text,beeline
1340,text,mts
1341,text,megafon
1342,text,mts
1343,text,mts
1344,text,mts
1345,text,beeline
1346,text,beeline
1347,text,mts
1348,text,mts
1349,text,beeline
1350,text,mts
1351,text,mts
1352,text,megafon
1353,text,mts
1354,text,beeline
1355,text,megafon
1356,text,beeline
1357,text,mts
1358,text,megafon
1359,text,tele2
1360,text,megafon
1361,text,mts
1362,text,beeline
1363,text,megafon
1364,text,mts
1365,text,mts
1366,text,mts
1367,text,rostelecom
1368,text,tele2
1369,text,mts
1370,text,megafon
1371,text,beeline
1372,text,mts
1373,text,beeline
1374,text,beeline
1375,text,mts
1376,text,beeline
1377,text,beeline
1378,text,mts
1379,text,rostelecom
1380,text,rostelecom
1381,text,skylink
1382,text,megafon
1383,text,megafon
1384,text,megafon
1385,text,beeline
1386,text,tele2
1387,text,beeline
1388,text,megafon
1389,text,beeline
1390,text,mts
1391,text,mts
1392,text,beeline
1393,text,mts
1394,text,beeline
1395,text,megafon
1396,text,beeline
1397,text,rostelecom
1398,text,tele2
1399,text,megafon
1400,text,mts
1401,text,megafon
1402,text,rostelecom
1403,text,beeline
1404,text,megafon
1405,text,megafon
1406,text,megafon
1407,text,mts
1408,text,megafon
1409,text,mts
1410,text,rostelecom
1411,text,mts
1412,text,rostelecom
1413,text,megafon
1414,text,megafon
1415,text,beeline
1416,text,mts
1417,text,megafon
1418,text,megafon
1419,text,mts
1420,text,mts
1421,text,mts
1422,text,megafon
1423,text,rostelecom
1424,text,mts
1425,text,mts
1426,text,tele2
1427,text,beeline
1428,text,rostelecom
1429,text,mts
1430,text,mts
1431,text,megafon
1432,text,megafon
1433,text,tele2
1434,text,beeline
1435,text,megafon
1436,text,megafon
1437,text,megafon
1438,text,beeline
1439,text,rostelecom
1440,text,megafon
1441,text,beeline
1442,text,megafon
1443,text,mts
1444,text,mts
1445,text,mts
1446,text,beeline
1447,text,megafon
1448,text,mts
1449,text,mts
1450,text,beeline
1451,text,beeline
1452,text,rostelecom
1453,text,beeline
1454,text,megafon
1455,text,mts
1456,text,megafon
1457,text,mts
1458,text,mts
1459,text,megafon
1460,text,megafon
1461,text,megafon
1462,text,megafon
1463,text,megafon
1464,text,beeline
1465,text,mts
1466,text,mts
1467,text,mts
1468,text,tele2
1469,text,rostelecom
1470,text,beeline
1471,text,beeline
1472,text,megafon
1473,text,mts
1474,text,rostelecom
1475,text,rostelecom
1476,text,megafon
1477,text,mts
1478,text,mts
1479,text,beeline
1480,text,rostelecom
1481,text,megafon
1482,text,mts
1483,text,beeline
1484,text,mts
1485,text,rostelecom
1486,text,megafon
1487,text,rostelecom
1488,text,beeline
1489,text,beeline
1490,text,beeline
1491,text,megafon
1492,text,tele2
1493,text,megafon
1494,text,megafon
1495,text,megafon
1496,text,mts
1497,text,beeline
1498,text,megafon
1499,text,megafon
1500,text,megafon
1501,text,megafon
1502,text,megafon
1503,text,beeline
1504,text,megafon
1505,text,megafon
1506,text,mts
1507,text,mts
1508,text,megafon
1509,text,mts
1510,text,megafon
1511,text,rostelecom
1512,text,megafon
1513,text,megafon
1514,text,megafon
1515,text,beeline
1516,text,megafon
1517,text,rostelecom
1518,text,mts
1519,text,beeline
1520,text,mts
1521,text,mts
1522,text,rostelecom
1523,text,megafon
1524,text,rostelecom
1525,text,rostelecom
1526,text,megafon
1527,text,megafon
1528,text,megafon
1529,text,megafon
1530,text,megafon
1531,text,mts
1532,text,mts
1533,text,megafon
1534,text,megafon
1535,text,mts
1536,text,megafon
1537,text,mts
1538,text,tele2
1539,text,megafon
1540,text,rostelecom
1541,text,megafon
1542,text,rostelecom
1543,text,rostelecom
1544,text,rostelecom
1545,text,beeline
1546,text,beeline
1547,text,megafon
1548,text,mts
1549,text,megafon
1550,text,mts
1551,text,megafon
1552,text,megafon
1553,text,megafon
1554,text,mts
1555,text,mts
1556,text,megafon
1557,text,rostelecom
1558,text,mts
1559,text,megafon
1560,text,tele2
1561,text,mts
1562,text,mts
1563,text,tele2
1564,text,rostelecom
1565,text,mts
1566,text,beeline
1567,text,mts
1568,text,rostelecom
1569,text,mts
1570,text,beeline
1571,text,tele2
1572,text,megafon
1573,text,megafon
1574,text,mts
1575,text,beeline
1576,text,rostelecom
1577,text,mts
1578,text,megafon
1579,text,megafon
1580,text,mts
1581,text,mts
1582,text,mts
1583,text,megafon
1584,text,megafon
1585,text,mts
1586,text,megafon
1587,text,rostelecom
1588,text,rostelecom
1589,text,rostelecom
1590,text,beeline
1591,text,megafon
1592,text,mts
1593,text,tele2
1594,text,megafon
1595,text,mts
1596,text,tele2
1597,text,beeline
1598,text,beeline
1599,text,megafon
1600,text,beeline
1601,text,rostelecom
1602,text,rostelecom
1603,text,tele2
1604,text,mts
1605,text,mts
1606,text,beeline
1607,text,mts
1608,text,megafon
1609,text,beeline
1610,text,megafon
1611,text,mts
1612,text,mts
1613,text,megafon
1614,text,megafon
1615,text,mts
1616,text,mts
1617,text,beeline
1618,text,mts
1619,text,tele2
1620,text,tele2
1621,text,rostelecom
1622,text,rostelecom
1623,text,rostelecom
1624,text,tele2
1625,text,mts
1626,text,mts
1627,text,rostelecom
1628,text,beeline
1629,text,rostelecom
1630,text,mts
1631,text,tele2
1632,text,rostelecom
1633,text,mts
1634,text,mts
1635,text,beeline
1636,text,rostelecom
1637,text,megafon
1638,text,mts
1639,text,mts
1640,text,mts
1641,text,megafon
1642,text,mts
1643,text,mts
1644,text,megafon
1645,text,mts
1646,text,megafon
1647,text,megafon
1648,text,mts
1649,text,megafon
1650,text,mts
1651,text,megafon
1652,text,mts
1653,text,beeline
1654,text,mts
1655,text,beeline
1656,text,mts
1657,text,mts
1658,text,beeline
1659,text,mts
1660,text,mts
1661,text,beeline
1662,text,mts
1663,text,rostelecom
1664,text,rostelecom
1665,text,rostelecom
1666,text,rostelecom
1667,text,mts
1668,text,mts
1669,text,mts
1670,text,megafon
1671,text,mts
1672,text,mts
1673,text,megafon
1674,text,megafon
1675,text,megafon
1676,text,megafon
1677,text,beeline
1678,text,megafon
1679,text,beeline
1680,text,megafon
1681,text,tele2
1682,text,mts
1683,text,mts
1684,text,mts
