,name,text,sent
10,ВАЗ 2109,"Плюсы: Хорошая динамика, хорошая проходимость, авто для российских дорог, хорошая вместительность багажника если сложить сиденья, возили 3-х месячного телёнка), для работы авто самое то, за счёт того что на крыше перед багажником есть изгиб, машину прижимает к асвальту при скорости 150-160 км/ч, прижимная сила больше чем у любых других вазов в том числе приора, красивый внешний вид. Особенно эта машина хороша для тюнинга, если в ее двигатель вложить тысяч 30-50, то можно получить 140-160 лошадок, и за счёт своего маленького веса 950 кг она будет дергать субару последних моделей т. к. у них мощность 200-300л. с., вес 1500-2000 кг, митсубиси и другие популярные спортивные авто такого класса. Так что если вы любите агрессивную езду лучше купить девятку за тыс. 20-100, вложить в нее тыс. 40-100 в зависимости от состояния авто, и вы будете дергать иномарки со стоимость 1-2 млн. руб. Ну сколько стоят там субару? посмотрите) Минусы: Самый главный минус это шумный салон! Многие говорят что кузов гниет быстро, да это так если не ухаживать за кузовом, если каждый год обрабатывать мовилем внутри порогов, лонжиронов, изнутри задние арки, раз в 2 года мазать днище, чашки, снизу все короче, мастикой, особенно хороша мастика Body, то ни че у вас гнить не будет. Следующий минус это багажник, у него часто ломается замок и багажник болтается, издает сильные шумы, это можно доработать поставив замок багажника от калины. Еще один минус это задние фары, там штекер не по уму сделан, её тоже надо доработать иначе у вас задние фары, то горят, то не горят, в основном не горят) Провода окисляются, особенно монтажный блок окисляется. Да еще там всякие мелочи есть, не стану описывать, все равно их все знают)) Общее впечатление : Ваз 2109 молодежное авто, плюсы и минусы.",neutral
11,Renault Logan седан,"Здравствуйте решил написать отзыв о автомобиле Рено Логан 1.4 75 лошадиных силы. Разработан для стран Автомобиль надёжен, неприхотлив и создан третьего мира для наших дорог. Ждать от него ярких показателей по динамике и комфорту не стоит. Автомобиль имеет вполне просторный салон и багажник для своего класса и является хорошей альтернативой Жигулям. Салон создан по принципу дёшево и сердито, соответственно через год -два пластик начинает скрипеть и салон тихим уже никак назвать нельзя на любых скоростях. Так-же при покупке авто стоит сразу-же надеть чехлы на сиденья так как обивка сидений тоже бюджетная в плохом смысле этого слова, пыль в нее въедается намертво, да и рвется она очень легко. Шумоизоляция в логане с годами не ухудшается, она слабая изначально, но всё таки лучше чем в отечественных авто. А вот подвеска у Логана просто замечательная и тяжело убиваемая (Ходит более 150000 километров). Тормозные диски ходят порядка 100000 километров пробега. МКПП имеет нечёткость переключения передач, не всегда можно включить первую передачу с первого раза, бывает не попадаешь и в третью. Реношники не считают это неисправностью поэтому и не пытаются лечить эту проблему. При всём этом коробки ходят долго и ломаются редко. Гранаты ходят тоже довольно долго и щёлкать начинают обычно из-за не замененного вовремя порванного пыльника. Мотор 1.4 слабоват для логана и если машина загружена то мотор приходится сильно крутить в результате чего мотор намного быстрее изнашивается. Часто начинает пропускать масло передний сальник колен-вала. Благодаря качественной грунтовке коррозия на авто встречается редко и в местах сколов метал не ржавеет. Проблемными местами являются верхние кромки лобового и заднего стёкол, а так-же задние колёсные арки. С электрооборудованием проблемы возникают редко, замены могут потребовать разве что лампочки в фарах и фонарях и то после пары лет эксплуатации. Кондиционер служит 3-4 года затем требует дозаправки, случаи разгерметизации системы единичны. Другой вопрос в том, что и без того слабый мотор 1.4 с включенным кондиционером вообще туго едет и много кушает топлива при этом около 12 литров на 100 километров по городу. Без кондиционера 8-9 литров на 100 километров по городу. При покупке такого БУ автомобиля имейте ввиду, что эта модель часто используется в качестве такси, соответственно могут иметь огромный пробег который могут скрутить, а авто будет в плачевном состоянии. В первую очередь о пробеге можно судить по состоянию салона машины. Обратите внимание на сиденья, руль, ручку КПП и педали. Если на сиденья одеты чехлы не поленитесь заглянуть под них. Так-же советую покупать логан с мотором 1.6 16v. Удачи на дорогах. Общее впечатление : Альтернатива Жигулям.",neutral
12,Ford Focus 2 седан,"Машина хорошая. Одна из самых комфортных, качественных и безопасных в своем классе. Очень удобные кресла, можно с легкостью отправляться в дальние путешествия и не бояться за усталость. Сама лично проверила, проехали 500 км. и на удивление спина у меня не болела как после старого автомобиля. И еще хочу заметить что в Ford Focus 2 седан вместительный багажник, что тоже не мало важно. В остальном я особо не понимаю, а муж говорит что удобно тем, что передний привод, коробка передач автомат, да и двигатель мощнее чем у той машины которая была у нас до этого. Отлично ездит на 92 бензине, небольшой расход топлива. В целом отличная машина для своего класса. Общее впечатление : мне нравится эта машинка!",positive
13,ВАЗ 2110,"Работал в одной организации. Данная модель ваза только появилась. И решили купить. Пригнали два автомобиля. Поначалу вроде нечего. Но через пару недель одна из машин начала глохнуть. Погнали к специалистам. Оказалось плохо прикручен карбюратор, одной гайки не было. Прошло пару лет на другой машине сгорел блок предохранителей. Прошло еще немного времени и в машине где сгорел блок предохранителей, перегорел клапан в двигателе. Цены на запчасти конечно завышены. многие запчасти по двигателю и ходовой подходят от ваз 2109. Салон тесноват. Можно было сзади сделать побольше. А так данная модель нормальная. Хочется что-то получше. Общее впечатление : Не плохой авто",negative
14,Skoda Felicia хэтчбек,"отличный авто расход у меня 8.5-9 литров по городу и около 6 по трассе Надежен в техническом плане, шустрый для 1.3 движка в общем не плохо с тазиками и рядом не стоял... каждый день езжу на работу не разу не подводила. Машина не боится сильных морозов-заводиться как часы. Рекомендую лишь масло вовремя менять в движке и коробке и будет вам счастье... Общее впечатление : отлично",negative
15,Dodge Caravan минивен,"Я тоже хочу несколько слов написать о минивэне Dodge Caravan. У меня такой Доджик 1999 года выпуска с 3- литровым двигателем 6G72(японец). Приобрел я его в 2008 году. До сих пор на нем езжу. Более крепкой во всех смыслах машины я не знаю. По роду своей деятельности мне приходится много ездить;в месяц по 10 000 км. Передние и задние амортизаторы по менял только в этом году. Шаровые опоры за 6 лет менял 3 раза. Коробка передач работает как часики. У меня установлено газобалонное оборудование для метана. Единственное, что пришлось сделать за эти 6 лет-поменять седла клапанов на головке блока цилиндров. И то только потому, что на японских двигателях стенки седел клапанов тонкие, а вот немецкие движки газа не боятся. Машина отличная. И, кстати канадской сборки. Общее впечатление : Отличная машина",negative
16,Fiat Uno 70 S хэтчбек,"Фиат зарекомендовал себя с очень хорошей стороны, а фиат уно можно разве что сравнить с мурашкой при своих не больших размерах довольно таки вместительный, в нутри места больше чем кажется. В городе это просто находка резвый, верткий и везде можно припарковаться. Хороший подарок для родителей пенсионеров. Очень экономный, что при нынешних ценах на топливе дает большой плюс. Когда сел первый раз за руль поразило то что при обьеме двигателя 1.3 литра на светофоре этот автомобиль показывал зад многим тачкам по круче его. Много запчастей подходит от ВАЗовской восьмерки. Надежный прост в управлении и эксплуатации. Единственный минус немножко жестковат что сказывается на комфорте при езде на неровных дорогах. Зато на трассе очень устойчив на поворотах на больших скоростях. Год выпуска/покупки: 1988 Общее впечатление : Городской автомобиль",neutral
17,Mitsubishi Colt хэтчбек,"На данный момент являюсь владельцем сего чудо агрегата. Нюансов много, но в целом автомобиль не плох, хотя мне ние о нём в начале срока владения и сейчас очень сильно отличаются. Очень сложно судить об автомобиле в целом имея эксплуатационный опыт лишь с одним образцом 2003 года. Но выскажу мнение именно о своей машине. Итак: 1. Бешенный расход бензина. Понимаю что это отличительная черта конкретно моего автомобиля, но порыскав в интернетах, понял, что это не редкая болезнь кольтов. Причины могут быть разные, но конкретную пока не выявил, в итоге с двигателем 1,3л. и манерой езды как у бабушки пенсионерки, едущей на дачу, расход получается порядка 13-15 л на 100км. 2. Очень жесткая подвеска. По идеально гладкой дороге нареканий нет, но вот живём то мы в России, тут идеально ровных дорог маловато. А вот по обычным русским дорогам уже как в телеге запряжённой взбесившейся лошадью. Тоже я так понял отличительная особенность Кольтов. Не всех конечно, но ведь факт остаётся фактом. 3. Плохая(а скорей всего вообще никакая) шумоизоляция. Так и хочется приехать к конструкторам в их комфортабельный офис, зайти и спросить: Ребята, ну как так можно то было лохануться с шумкой? Эх вы... А потом махнуть рукой и разочарованно покинуть здание. Теперь немного о плюсах: 1. Маленькая, юркая и просто потрясающе манёвренная. В городских условиях практически идеал. Бывают на стоянках паркующиеся ставят машины так, что между ними остаётся много места, но не достаточно, что бы туда влез обычный автомобиль. И тут появляюсь я на Кольте и ловко влажу в этот свободный карман. Довольно часто нахожу места припарковаться именно таким образом. 2. Удобный салон(в моём автомобиле портит конечно маркий повсеместно используемый бежевый цвет). Кробка передач на руле и откидывающийся подлокотник весьма удобен и при необходимости(в случае неудачно парковки) можно безпроблемно пролезть со стороны пассажирской двери, или же наоборот. Двигающиеся задние сиденья, увеличивающие либо багажное отделение, либо место в салоне, для пассажиров сидящих сзади. Очень удобно. 3. Эм... а это пожалуй и всё... всё что хотел нахвалить к самой машине не относится... ну там телевизор, отличная аудиосистема и т. д. За это спасибо предыдущему владельцу авто) Подводя итог, хотел бы сказать что подобного класса была у меня Хонда Фит. Вот она вызывала дикий восторг, незнаю почему, но я хочу Фита обратно, а вот с Кольтом бы попрощался. Так что машинка на любителя, и рекомендую этим самым любителям) Общее впечатление : Mitsubishi Colt - моё субъективное мнение)",neutral
18,Daewoo Nexia седан,"Мы долго думали какую машину купить искали, спрашивали у знакомых, ходили в салоны. Мы решили в салон Дэу и нам приглянулась машина эта машина дедушке она понравилась сразу. Через неделю мы посоветовавшись взяли деньги и пошли в салон покупать этот автомобиль. Долго ждать не пришлось автомобиль нашей комплектации пришел в течении недели. Впервые когда сели в автомобиль он показался очень удобным и комфортным. В общем это очень удобная и не дорогая машина по сравнению с ладами российского производства. В машине стоит очень удобный магнитофон, звучание у него очень хорошее. Фумаизаляция средняя. Есть а этой машине и минусы например такие когда на улице грязно, грязь из под колёс забивает в двери, машина постоянно грязная. Общее впечатление : Комфортно и цена не кусается.",neutral
19,Fiat Doblo Panorama минивэн,"Такая машина в нашей семье. Очень стойкая, никаких поломок за 2,5 года. Масло и расходники только меняли. Рулевое управление очень мягкое. Несмотря на то что машина вроде мужская, но и мне на ней ездить легко. Короче, рекомендую всем. А влезает в нее практически все! Общее впечатление : Вместительная и надежная",positive
20,BYD F3 седан,"Использую уже 4 года. Из возникших проблем, так это замена рулевой рейки. Но это я списываю на плохие дороги. Очень нравится двигатель Mitsubishi 1,5. Резвый. Первая передача слабовата, а вот с каждой последующей рвёт красиво :) Салон кожаный, все электроподъёмники, электролюк, управление магнитолой с руля, электрорегулировка зеркал заднего вида с салона, просторный багажник (зимняя детская коляска, велосипед легко помещались). Можно сложить задние сиденья и разместить длиномерный груз. Хороший кондиционер, правда фильтр салона часто приходиться менять. Есть даже компас :) Правда он с китайскими иероглифами. Слабоваты передние стойки. На 30 тыс. пришлось заменить. А так в принципе доволен. Добротный семейный автомобиль! ",positive
21,Daewoo Nexia седан,"Машину рекомендовал бы таксистам и в качестве служебной машины. В личное пользование никому не рекомендую. Быстро выходит из строя. Начинаются проблемы уже на 20 тыс. Качество сборки очень низкое. Одним словом Узбекистан. Зато ради ходовой можно её смело брать. А всё остальное на троичку с натяжкой. Большой плюс это крутой магнитофон ORION немного смягчает краски от пользования автомобилем. Посадка водителя очень низкая, создаётся впечатление, как-будто пятой точкой по асфальту едешь. :) Это же не спортивный болид. Движок слабоват. Разгоняется очень медленно, на обгон жутковато идти :( Сзади водителя сядет только ребёнок. Очень мало места. Зато багажник вместительный. Это большой плюс. Ещё плюсом можно назвать регулировку фар. ",neutral
22,Ваз 2192 Лада Калина 2 хетчбек,"Здравствуйте с вами как всегда Толя и машина Lada 219220 Kalina - 2013. И с разу к делу эта машина не чуть не изменилась чем старая модель лады. Поменялись только фары и сама коробка. Ну есть как всегда минусы всё сделано из толстого пластика и при езде вы сразу услышите дребезжание. Такая машина больше подойдёт молодому поколению стильный вид хорошая рулевая колонка. Забыл сказать что в машину встроен сенсорный экран где можно посмотреть фотки, фильмы, видео, и послушать радио но для всего этого понадобиться телефон или флешка. Такая машина очень манёвре на и хорошо в обгоне. Но у машины иногда ведёт зад. Спасибо за внимание. Общее впечатление : Lada 219220 Kalina",neutral
23,ВАЗ 21043 универсал,"У меня когда то была ""четверка"". Автомобиль конечно не бизнес-класс, да и разваливаться иногда на ходу начинает. Но если вы настоящий сельский мужик с хозяйством и полями, автомобиль для вас! 5-7 мешков картошки не предел. Довольно выносливый, расход бензина не очень большой. Летом конечно приходиться открывать все окна, так как кондиционер только такой. Сильно все скрипит в салоне. Вечно что то брякает, особенно задняя полка, по этому большинство автолюбителей просто избавляются от нее. Подвеска не сказать что плохая, у более новых авто даже мягче чем у таких моделей как 21099 или подобных. В целом авто не плохой, если его возраст не превышает 5-7 лет. ",negative
24,Mitsubishi L200 пикап,"Автомобиль принадлежит дяде. Волею случая занесло меня за руль этой тележки. Было весело :) Нравится мне кататься на пикапах - разгруженная задняя часть, тарахтящий дизелек, механика - нынче это удовольствие. Мне очень нравится дизайн этого пикапа, он в угоду аэродинамике и моде немного зализан, но выглядит вполне приемлемо да и неплохо. Брутальности как в прошлом поколении, конечно не хватает, но не ущербно как Mazda BT50 и тд. Неплохая эргономика салона - после Хайлюкса с его ненавистным красным салоном, шумом и неудобством салона вполне себе ничего. Порадовали сиденья с синей строчкой - мелочь, а прибавляет лоску в интерьере. Увы, штатной акустики не было - оценить нечего. Оказывается такое еще бывает в 21 веке еще где-то, кроме ВАЗа. Грузоподъемность более полторы тонны - проверенно. Шумный двигатель, сильные вибрации по кузову. Кстати о кузове, он довольно хлипкий, весь покрыт вмятинами, что меня сильно удивило после толстенного металла на Хайлюксе. Едет ""оно"" приемлемо, но уж больно прыгает зад на ухабах и кочках, пассажиры сзади жалуются на мигрень, тошноту, помутнение рассудка от постоянной тряски. Проходимость на ура, едет и ползет, но не любит песок - вязнет мгновенно. В грязи и в снегу хорош. У нас в Казахстане такие машины встречаются довольно часто - работают в фирмах, сельских хозяйствах, на нефтедобывающих объектах. Цена дешевле чем на Хайлюкс, но и минусов у него более - так что задумайтесь, есть ли смысл? Сэкономить на собственном комфорте пару тысяч долларов, и потом ездить с мигренью. ",neutral
