,recall,sent
10003,"Товар, который я оплатила, был отправлен продавцом не на моё имя и не мой адрес. Писала об этом продавцу , мне ни кто не ответил. Я очень сильно не довольна. Больше у этого продавца ни чего заказывать не буду. Товар мне так и не прислали. ",negative
8219,The quality of fabric is awful. Total plastic. Doesn't worse its money,negative
11432,"мне не понравилась!на фото рисунок гораздо ярче.размер мне большеват
в целом блузка блеклая и не интересная",negative
20485,"Заказали в августе,получили в ноябре.очень долгая доставка",negative
60337,"отличная юбка, продавец отправил быстро, доставка 2 недели. качество супер, лента в цвет. единственное был небольшой запах. резинка тянется.",positive
67690,"Класс!!! Мне на мои 98/78 чуть свободно. Но и фасон такой. Цвет розовый совпадает с фото. Очочоч симпатичная блузка. Трек отслеживался, с продавцом не общалась. Доставка за 3 недели до Казани. Рекомендую блузку и продавца. ",positive
29307,"уж не знаю, что ""суперского"" нашли в этих штанах. единственный + : хорошо утягивают в талии, высокая резинка. штанины все топорщится складками, думаю вне зависимости от размера.",neautral
2328,"Товар не пришёл, продавец кормил ""завтраками"" . Закрыл спор и деньги не вернули",negative
1766,размер не соответствует действительности . Хотела бы вернуть деньги.,negative
82925,"Качество хорошее, но штаны очень уж короткие",positive
81304,"топ пришел за месяц и 4 дня в Свердловскую область. качество нормальное, хлопок. при моем росте 155 он мне до пупка. рада, что приобрела такую вещь. спасибо :3",positive
60630,Юбочка классная по размеру спасибо.,positive
80023,"Хорошее качество и приятная цена. Быстрая доставка, прям домой.",positive
52436,"Заказывали футболку с надписью Шуга (SUGA), но что-то пошло не так, была прислана футболка с надписью Чон Гук (JUNG KOOK)",neautral
5793,"очень долго ждала посылку, но заказ так и не пришёл..",negative
22503,"качество ужасное, сшито криво, соответствует цене, поэтому спор не открывала.",negative
48994,"Товар шёл долго , по размеру подошла ",neautral
82254,"кофта хорошая за свои деньги.но почему-то я решила что мне должен подойти размер L на мой S. мой рост 162,вес 53. что и требовалось доказать-кофта велика. Ну ничего,отдам маме,думаю подойдет. спасибо продавцу,быстро доставил,с курьером.",positive
64175,"Хороший свитер, но думала будет длиннее, немного закрывает пупок, мой рост 173. Доставка быстрая, курьером лично в руки.",positive
20895,"Заказ не пришёл,продавец отказывался возвращать деньги,арбитраж решил спор",negative
1678,вы самые бессовестные продавцы  уже 2месяца   (с20 ноября) не возвращаете деньги  за отказ от товара,negative
44663,"кофта симпатичная,но казалось материал другой,а это синтетика,вдобавок еще и короткая и совсем в облипку,хотя по параметрам должна подойти.. жаль конечно..",neautral
14296,"на рост 165 и 42 размер, ракова широкие и короткие, сама водолазка тоже короткая, по качеству синтетика, в общем я недовольна ",negative
24393,"заказ ждала 3 месяца, так и не пришел. спасибо продавцу , что вернул деньги.",negative
57458,отличный товар..качественно!),positive
38159,"бежевое просвечивает,на 46 L великовато,носить не буду",neautral
13934,"Размер просто детский, я заказала XL, но я так поняла,  что у них вобще один размер, он подходит на XS,  если не меньше, вобще маленькая! Вобщем я открыла спор и хочу вернуть половину денег, так как носить не буду. Мой размер 42, рост 158см и вес 47кг и то эта кофта в сильный обтяг, ну а качество неплохое.",negative
57725,"Очень красивые, но маленькие. На мой 36 еле-еле",positive
5370,"так ничего не пришло, продавец шел на контакт, в итоге вернули деньги, немного не приятно, но за честность спасибо",negative
45656,"Очень сильно маломерят, берите размера на два больше. А так качество - синтетика, на раннюю весну само то.",neautral
16187,"Заказ шел месяц, упакована хорошо. Неприятный запах есть. Куртка на теплую зиму, открытая шея, капюшон как будто пришит только для красоты, сзади ало что прикрывает, карманы пришиты на разных уровнях(криво).",negative
37358,"перед покупкой проконсультировалась с продавцом, написала свой рост 170, меня убедили что все подойдёт... результат очень короткие! примерно две ладони!",neautral
70490,"Шло 2 месяца. Но виноват не продавец, посылка застряла на таможне (или что то того) Китая. При общении с продавцом, шел на контакт, сам продлил защиту покупателя. Сшито хорошо, супруге понравилась, и смотрится отлично.",positive
41127,"Заказ шёл ОООЧЕНЬ долго! Заказывала больше, чем за месяц, чтобы получить новому году и одеть эту юбку на новогоднюю ночь. Но куда там!! Продавец долго тянул с отправкой, да и шёл заказ долго. получила заказ больше чем через полтора месяца. И если бы было, чего ждать! Открываю посылку-восторг! Юбка пышная, мягкая, супер! Одеваю, кручусь перед зеркалом и замечаю узелок на втором слое юбки. Развязываю его, а там дырка! Огромная дырка, размером с ладонь! И Ее очень видно! Теперь я эту юбку никуда не могу одеть! И ради этого я ждала полтора месяца? Продавец бессовестный, хотел скрыть это от меня, завязав дырку в узелок! Открыла спор. Одобрили возврат части суммы денег. Если бы не эта дырка, то юбка была бы просто роскошной. Но ещё раз ждать полтора месяца я не готова. ",neautral
76337,"Беру второй раз, все просто великолепно!",positive
57638,"Товар в Екатеринбург за месяц. Куртка хорошего качества, ткань приятная на ощупь, цвет как на картине.  размер S заказала на 12 лет рост 152-154, подошел хорошо. На осень, весну.",positive
69296,"очень быстрая доставка в Воронеж! 1.08 продавец отправил товар, 10.08 уже подучили. все супер.",positive
8871,Заказ не пришел. И деньги не возвращают уже 20 дней.,negative
18051,"очень долго шли, думала, что колготки, а это носки ",negative
64831,"Шапочка очень хорошая, мягкая и тёплая, у нас такая рублей 800 стоит. Спасибо продавцу.",positive
9635,куртка пришла короткие рукава не советуб,negative
81109,"быстрая доставка, заказала 27.07, получила 11.08. хорошая юбка, размер L на от 70 об 99 идеально, рост 168",positive
70439,"рукава правда длинные , слишком!)",positive
15825,"ткань тонкая, веревочки ободронные, кофту только в мусоре, ткань воняет химией, не покупайте, открыла спор,  а они меня обманули и не вернули",negative
76748,"Блузка плотная, рисунок яркий, ткань больше хлопковая. Длина на рост 175 до попы. Рукава не коротки. Все швы и строчки ровные, нитки не торчат. На объем 90-74 подошел L. Заказ отправили на следующий день. До Ульяновска дошел за 2 недели. При распаковке присутствовал запах, но после стирки выветрился.",positive
49612,"Блузка для мутантов. Первый раз заказала на размер больше - пришло нормального кроя. Эта же пришла просто тяп-ляп пятилетнего ребенка. Все торчит и косит. Думала дело в размере, но в ателье выяснилось, что она пошита неправильно. Больше не закажу. Не рекомендую.",neautral
56527,"Пуховик пришел в Калугу за 23 дня. Замечательно! Сшито все очень аккуратно.Все молнии работают. На 52 русский брала 4XL. Сел четко по размеру. На рост 165 немного ниже колена. Пух распределен равномерно в простроченных квадратиках. Красивый. Мех,конечно, не такой пушистый,как на фото,но смотрится хорошо.Цвет скорее коричневато-золотистый, красивый, лучше,чем на фото. Спасибо продавцу! Смотрится дороже,чем стоит. Рекомендую.",positive
180,не пришли. возврат денег при вмешательстве али только,negative
69522,"Сшить прекрасно, брала xxl, на мой 50 размер мала, надо худеть",positive
42366,"платье очень маломерит!! размер М на русский 40 максимум.и ткань хоть и мягкая но вообще не тянется(( я разочарована.оно очень хорошо смотрится, но с размерами беда.не соответствует размерной сетке(",neautral
24342,К сожалению в Самару не дошло ((((,negative
46042,"Пришла после свадьбы доставка месяц, простла платнкю. Рукава короткие, спереди топорщится крючки не держат. Брала л на свой 44 подошла если б не рукава. Писец ... ",neautral
39355,"ужас, не советую, смотрится отвратительно",neautral
35778,"Швы не очень ровные , размеры не совпадают с реальными",neautral
65273,"Футболки странного качества.. синтетики там конечно конкретно.. надпись - наклейка, может сойти в любой момент, да и на размер s пришлось брать l и то.. с натяжкой, а так, в общем если что, для дома они пойдут.. пришли довольно быстро",positive
4583,"Заказывала размер L, российский ношу 46-пришёл товар очень маленький, на подростка наверно",negative
45673,"качество неочень,в бедрах велико,носить стремно",neautral
77676,"На ОГ 110, От 85, Об 114 просто супер, мужу понравилось",positive
7791,заказ не пришел!,negative
62541,"пришло за 10 дней,паеток меньше чем на фото,но тоже норм.Сам топ синтетика",positive
80695,отличного качества кофточка. мягкая. по размеру отлично подошло. буду еще заказывать только в другом цвете. продавец умничка. отправил очень быстро. спасибо.,positive
67746,"Куртка (ветровка) классная, сидит хорошо, вес 52, рост 170. Куртка очень понравилась. Молния узкая, металл, дочка хочет перешить на широкую. Но это косяк производителя. Продавец-молодец! Получили через 14 дней в Москве. Рекомендую ",positive
64018,"Очень красивый костюм. На размер 42-44 подошёл. Цвет насыщенный. Целиком ещё не стирала, но одно пятно пришлось, вода покрасилась, при носке тело не подкрасилось. Запаха не было. Доставка быстрая.",positive
77156,"пришли быстро, правда брюки синтетические, хотела в них по жому ходить, но похоже буду ходить в них на тренеровку",positive
35549,"Товар пришел быстро. На рост 160 ( размер 44-46) заказала м. Подошел размер, но после 1 раза  по шву образовалась дырка.... а так неплохие колготки! Но тонковатые.",neautral
53504,Тоненький зауженный а покрой хороший доставка 1 месяц до Москвы,neautral
41123,Неточность в описании товара. А так всё аккуратно.,neautral
6756,"Халат оказался очень маленький , как рубашка:(((( Цвет не соответствует",negative
4889,нечего не получилась слишком не хороший 4месяцев ждала нету......но деньги обратно дали молодец!,negative
82979,качество соответствует цене.на рост 165 коротие.сшити хорошо.на худенькую девочку лет 12.,positive
2336,"4 месяца прошло, а труселей так и нет. Просила отправить с отслеживанием, т.к. Почти 10штук взяла, а продавец послал без отслеживания, мудак. Раньше вроде норм был, испортился. Знала бы, что он такой плохой, не делала бы у него заказ. Ужасный продавец.",negative
72643,Товар соответствует описанию . Спасибо,positive
80564,"Поскольку я обожаю уютные мягкие халаты, конечно же, не смогла пройти мимо этого. Заказывала в сером цвете, с мордочкой ослика на капюшоне. Пожалуй, этот то приятное исключение, когда даже взрослые могут позволить себе побыть детьми: халат действительно классный, ощущаешь себя в нем очень комфортно и дурашливо. Мягкий до невозможности, теплый и удобный. Правда, материал довольно толстый, поэтому слегка визуально полнит в застегнутом виде. Но это мелочи в сравнении с тем, насколько он приятный. Рекомендую!",positive
45749,"ткань платья тонкая синтетика, к телу приятен, на русский 46-48 заказала L, мне как раз. расстроило то, что на швах некачественно сделано, как-будто в сборку,  носить наверно только под заправку. цвет яркий, как на фото.",neautral
30763,"Не сильно с женой разобрали описание, но по факту это поролон))) Посмеялись, будем дарить.",neautral
829,"к сожалению, я заказывала размер 4 хl, но отправили 3 xл, я очень расстроилась. Куда я эту кофту Дену. Больше не буду заказывать вещи на Али.",negative
22769,"Водолазка мало того что пришла рваная, так она ещё и дырявая. Ей теперь только полы мыть! Срочно верните деньги твари!!!!!!",negative
17501,"Заказ не пришел, два месяца прошло, не отслеживалось",negative
8382,"Неправильно скроены рукова, невозможно поднять руки вверх, а так же вытянуть до конца вперёд! Деньги на ветер, не покупайте!",negative
13318,Шорты так и не получил. Продавец продинамил. Остался без шорт и без денег,negative
65710,"Платье отлично село по фигуре, взяла L на 92/77/105. На рост 171 см длина ниже колена. Платье очень приятного средне-синего цвета, ткань с содержанием хлопка мягкая, плотная, не просвечивает, неплохо тянется, контуры белья не выделяет, однако животики-бочки обтянет во всей красе. Муж оценил как сексапильное. Много ниточек с оборота от оверлока. И немного кривовата, но некритично, спереди обработка горловины. Доставка в руки за 2,5 недели",positive
63001,"Доставка месяц до спб. Куртка классная,
 синтепон, толстая достаточно. На рост 178,75кг до колен. Рукава нормально. РАЗМЕР XXL. По фигуре велика малость. Но не видно. На кнопках. За 1300 вообще подарок. Забирала из пункта выдачи Сдек. Пакет вскрывался, заклеен скотчем. Но с товаром все норм. Продавец отправил сразу. Заказываю в этом магазе второй раз. Все нравится. На сообщения отвечает сразу.",positive
15936,"К сожалению, колготки не пришли. Продавец не реагировал на спор. Али вернул деньги. ",negative
38623,Не подошел размер,neautral
57042,на 42размер отлично,positive
10054,"Месяц прождала заказ! Сначала посылка вообще не двигалась, а потом продавец вообще отменил заказ! Не советую этого обманщика!",negative
54109,"Качество неплохое. Но размеры странные. На российский  42 взяла М . Трусы больше идут на 44 размер. Причем в одной упаковке они и по размеру разные.  Упакованы в мешочек .
Доставка  около 1 месяца до Екатеринбурга. Заказ отслеживался",neautral
58291,"Заказ пришел чуть позже начального срока, но все отлично. Нитки нигде не торчат. На свой размер заказала М, села ОТЛИЧНО!! Синтетика, но приятна в ношении. Слишком прозрачна, но под майку самое то!!! Заказывала белую, пришла не мятая, запах приятный, даже, скорее ни чем не пахнет. Рекомендую и закажу еще",positive
36663,Жилетка пришла как будто из меховых брелков сшита. Отдавала в ателье чтобы зазоры убрали между малюсенькими кусочками меха. Так оказалось что подклад это не замша а подделка! Не тупите и закажите подороже но качественнее. Продавец отказывался от спора и просто вернуть жилетку за мой счет. Арбитраж вернул всего 1200. Хотя я в ателье потратила 2500! Отправляли ужасно долго. Целый месяц. Жилетка тонюсенькая и сшита из не плотного маленьким кусками меха. Не стоит даже своих денег. Красная цена тысячи три. По ней видно что дешманская. ,neautral
41112,"Платье хорошее, качественное, подошло идеально. Но сервис- это полное разочарование! Продавец не мог отправить товар 10 дней и даже не пытался извиниться за задержку, оправдывая данную ситуацию предпраздничным ажиотажем. В то же время я заказала платье в другом не менее, если не более известном магазине примерно этой же ценовой категории. Оно было отправлено незамедлительно. Так что, видимо, дело не в праздниках, а в наплевательском отношении к клиентам. Позор для такого популярного магазина!",neautral
51864,"На фотографии продавца рубашка розового цвета, а на самом деле цвет больше похож на персиковый. Рубашка просвечивает немного. Из-за этого немного расстроилась. Хотелось именно розовую рубашку без всяких оттенков. 
Это второй мой заказ у этого продавца, в прошлый раз посылка пришла за 12 дней, а в этот раз обрабатывал заказ продавец 7 дней. И заказ пришел через 20 дней, всё равно быстро.
На ОГ 92 заказала L, мне нравится как сидит рубашка. По размеру.",neautral
70457,класс!!! ,positive
40269,"Юбка, ну уж очень короткая, была бы на 5 см длиннее было бы более менее нормально. Не очень качественно прошито, нитки не торчат",neautral
1266,"Туника мне так и не пришла, прошло три месяца. Уехала на море без неё. Очень жаль.",negative
34349,очень короткая и широкая,neautral
13527,"Здравствуйте, я не получила товар. Заказ оплатила, а на почте товара нет. Хочу решить вопрос положительно.",negative
21476,"Упаковка была нарушена, присутствует запах бензина и сам свитер был мокрым.",negative
38243,Увы товар так и не пришёл.,neautral
38904,"красивая, но сделана некачественно, продавец вернул деньги",neautral
46154,Низкое качество швов.,neautral
58842,качественная кофточка. только продавец очень долго отправлял.,positive
62367,качество хорошее чуть есть запах,positive
4162,товар в указанное время не пришелжду дальше,negative
19909,"Заказ не пришёл, продавец отправил его под левым трэк номером и категорически отказывался возвращать деньги, спор проиграла, НИКОГДА НЕ ЗАКАЗЫВАЙТЕ ЗДЕСЬ!!!!  Обратилась в службу поддержки, обещали решить этот вопрос.",negative
38181,"очень тонкий,не соответствует фото,не очень понятно,о какой компьютерной вязке идет речь в описании? просто кусок тряпки.И как оказалось материал материалу рознь ( за такие деньги я ужасно разочарована! не стоит своих денег однозначно.",neautral
44339,Не хлопок!На размер 38 максимум.,neautral
17160,"жуть!!! синтетика,не тратьте деньги.иИ за 100руб не купила бы в магазине.",negative
82102,"Неплохие колготки из приятного материала,цвет соответствует заявленному,пришло за месяц.
Рекомендую",positive
26865,только выкинуть....,negative
30566,"Недовольна... По размеру хорошо, но вся в нитках и оторванных кусках кружев...Но по размеру, сидит гормально, ношу 44",neautral
7459,ТОВАР НЕ ПОЛУЧЕН ДО СИХ ПОР,negative
73704,super,positive
69970,Awesome dress.true to size and quality ,positive
50890,"майка просвечивается,не соответствует фото",neautral
62082,"Это второй заказ, очень хорошее качество и быстрая доставка. И подарок. Спасибо！",positive
38599,"товар не пришел, деньги вернули",neautral
45127,"Строчки кривые, в остальном все нормально",neautral
76153,"ткань очень мягкая, но по общим параметрам ожидала чего-то получше, но конкретных претензий нет, хотя одна из этих лямок слегка отошла, но это не критично. пришло за 3 недели
размер должен подойти",positive
32681,"Носки так и не пришли за два месяца. Открыла спор, продавец вернул деньги.",neautral
17529,"ждала 4 месяца, товар так и не получила. Деньги вернули через спор, но убеждали подождать ещё",negative
80269,"на 42-44 свободно, но так и планировала. цена 2930р, у нас за такие деньги и с искусственным не купить",positive
3216,очень плохой продавец. заказала у него две кофточки. в посылке оказалось только одна. деньги возвращать отказывается. будьте осторожны при покупке у этого продавца!!!,negative
56681,Принесли на дом. Качество хорошее,positive
26431,"Ужасный запах, все кривое, везде затяжки, открыла спор вернули деньги ",negative
2720,"Не понравилась.По качеству как футболка,очень тонкая.Буду в ней с собакой гулять или дома где то шуршать .Но на выход  в люди  ,не одену.На картинке  красивее,ткань смотрите плотнее. А реально шляпа ,какая-то .Покупать не рекомендую.Брала 2ХХl на 75 кг.По размеру нормально.",negative
34923,Не приятных запах,neautral
49954,нет этикетки с подтверждением состава материала.,neautral
70273,"Славная блуза. На параметры 85/65 взяла M. Подошло, только под мышками чуть тесновато.",positive
28286,"Прикольная , но цвет не белый , а желтоватый ..",neautral
63196,"Класс толстовка,мягкая,по размеру подошло,продавец супер.",positive
50934,Большой мне носить не буду,neautral
50095,"Размер взяла такой же, как у других товаров, (3 пары мне подошли), однако они вообще не тянутся так, как показано на картинке. смогла натянуть чуть выше колена, дальше не тянутся. Продавец общительный, согласился оформить возврат",neautral
33998,"Заказывала XXXL ношу рус.50размер.В обтяг,как на 48 размер!!!Кашемира нет и помине!цвет не соответствует фото!Дешёвка.Ещё цену заявляют как на путную вещь,и типа скидка хорошая!!!Когда так за нос обводят, весь товар с Али кажется подозрительным...Заказывала бы
 больше-но где гарантия,что снова нарвешься на ПОДОБНОГО ПРОДАВЦА.Носить не буду.",neautral
69404,"Юбка не понравилась. Ткань грубая. Баска торчит. Мне совсем не подошла, не смотрится. Размер продавец посоветовал правильно. Для обхвата бедер 110 см заказала 5XL. Размер подошел. По фигуре не села. У кого груша, не берите. Смотрится ужасно.",positive
80534,"Леггинсы отличные, теплые, на осень-весну, и теплую зиму подойдут отлично. Размер соответствует （на российский 46-48 взяла L）. На ноге смотрятмя отлично, визуально не полнят, даже небольшой утягивающий эффект.",positive
58945,"Качество хорошее. Сфиолетовой, малиновой и синей полосой больше двух других и лучше тянуться. Доставка 3 недели до Краснодара. Посылка отслеживалась.",positive
72183,платье неплохое но имейте в виду что на высокий рост оно до колена и рукав коротковат. на 89 70 95 сидит очень плотно,positive
71441,"приятный материал, на 46 размер брала xl - как раз. рисунок мельче, чем на фото.",positive
83134,"Куртка села отлично,оверсайз,L..на наш российский 42..рост 170,рукав  немного. длинноват, подкатила на манжет.И все отлично.",positive
15842,"от рубашки не в восторге. ткань- какой то грубый хлопок и смотрится совершенно не женственно. посылка пришла быстро, упаковано надёжно. пояс пришит на месте, не знаю кому там высоко. сам пояс плохо прошит и расходится по швам. хороший, вежливый продавец, вернул часть денег. к покупке данную рубашку не рекомендую, ничего особенного",negative
82299,"Думала, что оно будет теплее. Для осени подойдёт, а для зимы, к сожалению, нет.
А так все хорошо, свет соответствует",positive
17858,"мне так товар не пришел,открыла спор,продавец сказал подождать ещё 10 дней,ждала больше 10 дней,но товара так и нет,прошу вернуть денежные средства обратно на карту.",negative
75006,"Куртка  понравилась. все клепки работают. с 
размером чуть ошиблась .  можно было л заказать. л будет на 44-46. ну лучше больше ,чем меньше.",positive
28154,"Ткань ужасная, тянется, по швам получились сборки ткани, а все остальное провисло. Прогладить швы не получилось. Заказывала красный с черными крапинками сарафан, он хороший, а этот сильно расстроил.",neautral
15997,"Купилась на отзывы и заказала этот костюм.Для меня сплошные минусы,во-первых ткань неприятная синтетика,во-вторых пошив просто ужас.И наконец штаны явный брак,дырка на манжете и пояс пришит криво.Единственный плюс часть денег вернули .",negative
78860,"гуд. на параметры 85 72 92 отлично подошла, материал к телу приятный. шла примерно 2,5 нед в НН",positive
31967,"Заказ пришел в течения месяца, синтетическое платья, прилипает к телу, на 42 заказала s, большивато в руковах.",neautral
43575,"заказывала размер s, прислали L.",neautral
29266,"спасибо.в принципе довольна, за такие деньги. качество хорошее.цвет красивый. а вот пошив желает лучшего.пошито не правильно. один бок расклешенние другого,расхождение в 10 см. придется переделывать,обидно,поэтому снижаю оценку, xl подходит на 44 раз. и длина хорошая",neautral
